name,attributes
acquired,"{""source"": ""llm_openie""}"
decreased,"{""source"": ""llm_openie""}"
equivalent,"{""source"": ""system_normalized_name""}"
expects,"{""source"": ""llm_openie""}"
files_report,"{""source"": ""llm_openie""}"
generated,"{""source"": ""llm_openie""}"
guidance_for,"{""source"": ""llm_openie""}"
has_address,"{""source"": ""llm_openie""}"
has_phone,"{""source"": ""llm_openie""}"
has_ticker,"{""source"": ""llm_openie""}"
improved,"{""source"": ""llm_openie""}"
increased,"{""source"": ""llm_openie""}"
incurred,"{""source"": ""llm_openie""}"
invested_in,"{""source"": ""llm_openie""}"
is,"{""source"": ""llm_openie""}"
is_mentioned_in,"{""source"": ""system""}"
listed_on,"{""source"": ""llm_openie""}"
located_in,"{""source"": ""llm_openie""}"
merged_with,"{""source"": ""llm_openie""}"
offers,"{""source"": ""llm_openie""}"
owns,"{""source"": ""llm_openie""}"
partnered_with,"{""source"": ""llm_openie""}"
projects,"{""source"": ""llm_openie""}"
reported,"{""source"": ""llm_openie""}"
