source,relation,target,attributes
entity:9de5240df532,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:a5e87248b4ea,listed_on,entity:c1c17bca6cff,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:6dd0f1a277be,has_ticker,entity:a5e87248b4ea,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:c6698873b4f1,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:a5e87248b4ea,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,listed_on,entity:6dd0f1a277be,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:51ff63a5b532,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,files_report,entity:9de5240df532,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:4b8c66e39b72,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,has_address,entity:fed025b82f52,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:61f1cc4cd1e2,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
