source,relation,target,attributes
entity:9de5240df532,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,has_market_value,entity:e106edf026d7,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:fe7f2bba2acf,has_phone,entity:cbfbc831fe39,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:fe7f2bba2acf,has_notes,entity:d173b03c1f86,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:a5e87248b4ea,listed_on,entity:c1c17bca6cff,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:6dd0f1a277be,has_ticker,entity:a5e87248b4ea,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:fe7f2bba2acf,has_notes,entity:1c947f192611,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:fe7f2bba2acf,has_notes,entity:e84f08a1bc63,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:c6698873b4f1,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,has_notes,entity:b715b5f36c90,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:a5e87248b4ea,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,has_ein,entity:afd53de4b517,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:fe7f2bba2acf,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,listed_on,entity:6dd0f1a277be,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:51ff63a5b532,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,has_notes,entity:39e9e90ea08c,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:fe7f2bba2acf,has_shares_issued,entity:2c07109dfca4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:a5e87248b4ea,has_ticker,entity:a5e87248b4ea,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:fe7f2bba2acf,has_shares_outstanding,entity:2c07109dfca4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:fe7f2bba2acf,has_filing_number,entity:1ae6d1e2e4f6,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:fe7f2bba2acf,files_report,entity:9de5240df532,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:fe7f2bba2acf,has_notes,entity:f075dda8cf85,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:fe7f2bba2acf,has_sec_filing,entity:f3f55f28f90d,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:4b8c66e39b72,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,has_address,entity:fed025b82f52,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:fe7f2bba2acf,files_report,entity:00e72210e498,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:fe7f2bba2acf,has_filing_type,entity:671e289aff92,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:61f1cc4cd1e2,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,has_notes,entity:168a5aa95a00,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
