uid,name,type,attributes
chunk:text_73a5224d4e0d0dc4,text_73a5224d4e0d0dc4,chunk,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source_pdf"": ""data/pdfs/AAPL_10-K_2025-10-31_0000320193-25-000079_aapl-20250927.pdf"", ""ticker"": ""AAPL"", ""modality"": ""text"", ""text_preview"": ""Company: Apple\nTicker: AAPL\nFiling type: 10-K\nSource filing: AAPL_10-K_2025-10-31_0000320193-25-000079_aapl-20250927.pdf\nPage: 1\nModality: text\nPassage: UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 10-K (Mark One) ☒ ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended September 27, 2025 or ☐ TRANSITION REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the transition period fr""}"
entity:06c84cefa4be,Notes due 2026,entity,"{""name_normalized"": ""notes due 2026""}"
entity:06ece8c54ff4,Notes due 2027,entity,"{""name_normalized"": ""notes due 2027""}"
entity:08d57057ee6d,"March 28, 2025",entity,"{""name_normalized"": ""march 28 2025""}"
entity:12eecc0d9c7a,"fiscal year ended September 27, 2025",entity,"{""name_normalized"": ""fiscal year ended september 27 2025""}"
entity:4b8c66e39b72,"Washington, D.C.",entity,"{""name_normalized"": ""washington d.c.""}"
entity:51ff63a5b532,Nasdaq Stock Market LLC,entity,"{""name_normalized"": ""nasdaq stock market llc""}"
entity:52c338f3fce9,2026 annual meeting,entity,"{""name_normalized"": ""2026 annual meeting""}"
entity:671e289aff92,10-K,entity,"{""name_normalized"": ""10-k""}"
entity:6bf793c7d654,120 days,entity,"{""name_normalized"": ""120 days""}"
entity:6dd0f1a277be,Common Stock,entity,"{""name_normalized"": ""common stock""}"
entity:74459ca3cf85,SEC,entity,"{""name_normalized"": ""sec""}"
entity:84ec9c21e56b,Notes due 2042,entity,"{""name_normalized"": ""notes due 2042""}"
entity:8df97ce9b2ec,Notes due 2031,entity,"{""name_normalized"": ""notes due 2031""}"
entity:91a071fd39cd,Commission File Number 001-36743 g6614,entity,"{""name_normalized"": ""commission file number 001-36743 g6614""}"
entity:9c67abda8f82,One Apple Park Way,entity,"{""name_normalized"": ""one apple park way""}"
entity:a49d506ec710,Notes due 2029,entity,"{""name_normalized"": ""notes due 2029""}"
entity:a5e87248b4ea,AAPL,entity,"{""name_normalized"": ""aapl""}"
entity:a658c984648f,Notes due 2025,entity,"{""name_normalized"": ""notes due 2025""}"
entity:afd53de4b517,94-2404110,entity,"{""name_normalized"": ""94-2404110""}"
entity:b27fb336884f,"14,776,353,000 shares",entity,"{""name_normalized"": ""14776353000 shares""}"
entity:c6698873b4f1,California,entity,"{""name_normalized"": ""california""}"
entity:cbfbc831fe39,(408) 996-1010,entity,"{""name_normalized"": ""408 996-1010""}"
entity:db96464a7abe,large accelerated filer,entity,"{""name_normalized"": ""large accelerated filer""}"
entity:e106edf026d7,"$3,253,431,000,000",entity,"{""name_normalized"": ""3253431000000""}"
entity:e1c3a5261b5b,"Cupertino, California 95014",entity,"{""name_normalized"": ""cupertino california 95014""}"
entity:ecf06aedc2eb,Form 10-K,entity,"{""name_normalized"": ""form 10-k""}"
entity:efe54313cd08,$0.00001 par value,entity,"{""name_normalized"": ""0.00001 par value""}"
entity:fe7f2bba2acf,Apple Inc.,entity,"{""name_normalized"": ""apple inc.""}"
entity:fed025b82f52,"One Apple Park Way, Cupertino, California 95014",entity,"{""name_normalized"": ""one apple park way cupertino california 95014""}"
