uid,name,type,attributes
chunk:text_73a5224d4e0d0dc4,text_73a5224d4e0d0dc4,chunk,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source_pdf"": ""data/pdfs/AAPL_10-K_2025-10-31_0000320193-25-000079_aapl-20250927.pdf"", ""ticker"": ""AAPL"", ""modality"": ""text"", ""text_preview"": ""Company: Apple\nTicker: AAPL\nFiling type: 10-K\nSource filing: AAPL_10-K_2025-10-31_0000320193-25-000079_aapl-20250927.pdf\nPage: 1\nModality: text\nPassage: UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 10-K (Mark One) ☒ ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended September 27, 2025 or ☐ TRANSITION REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the transition period fr""}"
entity:00e72210e498,2025-10-31,entity,"{""name_normalized"": ""2025-10-31""}"
entity:168a5aa95a00,2.000% Notes due 2027,entity,"{""name_normalized"": ""2.000 notes due 2027""}"
entity:1ae6d1e2e4f6,001-36743,entity,"{""name_normalized"": ""001-36743""}"
entity:1c947f192611,0.500% Notes due 2031,entity,"{""name_normalized"": ""0.500 notes due 2031""}"
entity:2c07109dfca4,"14,776,353,000",entity,"{""name_normalized"": ""14776353000""}"
entity:39e9e90ea08c,0.000% Notes due 2025,entity,"{""name_normalized"": ""0.000 notes due 2025""}"
entity:4b8c66e39b72,"Washington, D.C.",entity,"{""name_normalized"": ""washington d.c.""}"
entity:51ff63a5b532,Nasdaq Stock Market LLC,entity,"{""name_normalized"": ""nasdaq stock market llc""}"
entity:61f1cc4cd1e2,"Cupertino, California",entity,"{""name_normalized"": ""cupertino california""}"
entity:671e289aff92,10-K,entity,"{""name_normalized"": ""10-k""}"
entity:6dd0f1a277be,Common Stock,entity,"{""name_normalized"": ""common stock""}"
entity:9de5240df532,United States Securities and Exchange Commission,entity,"{""name_normalized"": ""united states securities and exchange commission""}"
entity:a5e87248b4ea,AAPL,entity,"{""name_normalized"": ""aapl""}"
entity:afd53de4b517,94-2404110,entity,"{""name_normalized"": ""94-2404110""}"
entity:b715b5f36c90,3.050% Notes due 2029,entity,"{""name_normalized"": ""3.050 notes due 2029""}"
entity:c1c17bca6cff,The Nasdaq Stock Market LLC,entity,"{""name_normalized"": ""the nasdaq stock market llc""}"
entity:c6698873b4f1,California,entity,"{""name_normalized"": ""california""}"
entity:cbfbc831fe39,(408) 996-1010,entity,"{""name_normalized"": ""408 996-1010""}"
entity:d173b03c1f86,3.600% Notes due 2042,entity,"{""name_normalized"": ""3.600 notes due 2042""}"
entity:e106edf026d7,"$3,253,431,000,000",entity,"{""name_normalized"": ""3253431000000""}"
entity:e84f08a1bc63,1.625% Notes due 2026,entity,"{""name_normalized"": ""1.625 notes due 2026""}"
entity:f075dda8cf85,1.375% Notes due 2029,entity,"{""name_normalized"": ""1.375 notes due 2029""}"
entity:f3f55f28f90d,AAPL_10-K_2025-10-31_0000320193-25-000079_aapl-20250927.pdf,entity,"{""name_normalized"": ""aapl_10-k_2025-10-31_0000320193-25-000079_aapl-20250927.pdf""}"
entity:fe7f2bba2acf,Apple Inc.,entity,"{""name_normalized"": ""apple inc.""}"
entity:fed025b82f52,"One Apple Park Way Cupertino, California 95014",entity,"{""name_normalized"": ""one apple park way cupertino california 95014""}"
