name,attributes
equivalent,"{""source"": ""system_normalized_name""}"
has_a_principal_executive_office_at,"{""source"": ""llm_openie""}"
has_a_telephone_number,"{""source"": ""llm_openie""}"
has_filed_a_report_on_and_attestation_to_its_managements_assessment_of_the_effectiveness_of_its_internal_control_over_financial_reporting,"{""source"": ""llm_openie""}"
has_filed_all_reports,"{""source"": ""llm_openie""}"
has_submitted_electronically_every_interactive_data_file,"{""source"": ""llm_openie""}"
is_a_large_accelerated_filer,"{""source"": ""llm_openie""}"
is_a_shell_company,"{""source"": ""llm_openie""}"
is_mentioned_in,"{""source"": ""system""}"
registered,"{""source"": ""llm_openie""}"
